2023-12-04 20:52:44.663 [http-nio-8080-exec-3] INFO  l.y.c.p.input.rest.ProductController - m=findProductById id="29"
2023-12-04 20:52:46.046 [http-nio-8080-exec-4] INFO  l.y.c.p.input.rest.ProductController - m=findProductById id="29"
2023-12-04 20:52:46.819 [http-nio-8080-exec-5] INFO  l.y.c.p.input.rest.ProductController - m=findProductById id="29"
2023-12-04 20:52:48.130 [http-nio-8080-exec-6] INFO  l.y.c.p.input.rest.ProductController - m=findProductById id="29"
2023-12-04 20:53:02.287 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-12-04 20:53:02.289 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-12-04 20:53:02.292 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-12-04 20:53:04.265 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-12-04 20:53:04.308 [main] INFO  l.y.c.p.ProductManagementApplicationKt - Starting ProductManagementApplicationKt using Java 21.0.1 with PID 18900 (C:\Users\yanzi\OneDrive\Documentos\workspace\product-management\build\classes\kotlin\main started by yanzi in C:\Users\yanzi\OneDrive\Documentos\workspace\product-management)
2023-12-04 20:53:04.309 [main] INFO  l.y.c.p.ProductManagementApplicationKt - No active profile set, falling back to 1 default profile: "default"
2023-12-04 20:53:05.146 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-12-04 20:53:05.147 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-12-04 20:53:05.271 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 117 ms. Found 1 JPA repository interface.
2023-12-04 20:53:05.292 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-12-04 20:53:05.293 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
